              precision    recall  f1-score     support
 bishop        0.294118  0.070423  0.113636   71.000000
 king          0.149533  0.533333  0.233577   60.000000
 knight        0.294118  0.053763  0.090909   93.000000
 pawn          0.207692  0.310345  0.248848   87.000000
 queen         0.092593  0.074627  0.082645   67.000000
 rook          0.090909  0.034483  0.050000   87.000000
accuracy       0.165591  0.165591  0.165591    0.165591
macro avg      0.188160  0.179496  0.136602  465.000000
weighted avg   0.192235  0.165591  0.133493  465.000000
